Code,City,Shannon,Simpson,Inverse Simpson
1017,Municipiul Alba Iulia,0.818,0.203,1.254
1071,Ciugud,0.712,0.195,1.243
1151,Oras Abrud,0.541,0.134,1.155
1213,Municipiul Aiud,1.26,0.38,1.612
1348,Municipiul Blaj,1.336,0.422,1.731
1455,Oras Campeni,0.114,0.023,1.024
1696,Oras Cugir,0.554,0.124,1.142
1794,Oras Ocna Mures,1.294,0.369,1.584
1874,Municipiul Sebes,0.739,0.178,1.216
1936,Oras Zlatna,0.17,0.035,1.036
2130,Albac,0.033,0.007,1.007
2309,Almasu Mare,0.241,0.076,1.082
2381,Arieseni,0.232,0.073,1.078
2577,Avram Iancu,0.366,0.106,1.118
2915,Oras Baia De Aries,0.204,0.041,1.043
2988,Berghin,0.399,0.092,1.102
3039,Bistra,0.021,0.004,1.004
3397,Blandiana,0.465,0.132,1.152
3459,Bucium,0.381,0.099,1.11
3761,Cenade,1.207,0.473,1.898
3805,Cergau,0.329,0.084,1.092
3841,Ceru-Bacainti,-0.0,0.0,1.0
3958,Cetatea De Balta,1.372,0.468,1.88
4008,Ciuruleasa,0.448,0.131,1.151
4106,Calnic,0.608,0.181,1.221
4142,Cricau,0.196,0.051,1.054
4188,Craciunelu De Jos,0.517,0.146,1.171
4240,Daia Romana,1.052,0.325,1.48
4268,Dostat,0.306,0.093,1.103
4302,Farau,1.38,0.498,1.992
4366,Galda De Jos,0.622,0.183,1.225
4482,Garbova,0.96,0.295,1.419
4525,Garda De Sus,-0.0,0.0,1.0
4703,Hoparta,0.213,0.047,1.049
4767,Horea,0.068,0.016,1.016
4927,Ighiu,0.501,0.132,1.153
4981,Intregalde,0.111,0.029,1.03
5103,Jidvei,0.948,0.293,1.415
5167,Livezile,0.148,0.037,1.039
5210,Lopadea Noua,1.185,0.525,2.104
5309,Lunca Muresului,1.39,0.477,1.913
5336,Lupsa,0.078,0.015,1.016
5577,Metes,0.452,0.109,1.123
5700,Mihalt,0.35,0.1,1.111
5755,Miraslau,1.469,0.517,2.069
5826,Mogos,0.071,0.017,1.017
6048,Noslac,0.822,0.294,1.416
6119,Ocolis,-0.0,0.0,1.0
6164,Ohaba,0.683,0.203,1.255
6217,Pianu,0.172,0.037,1.038
6271,Poiana Vadului,0.594,0.186,1.229
6397,Ponor,-0.0,0.0,1.0
6468,Posaga,0.396,0.144,1.169
6547,Radesti,1.119,0.432,1.76
6592,Rametea,1.371,0.446,1.804
6627,Ramet,-0.0,0.0,1.0
6761,Rosia Montana,0.642,0.17,1.204
6930,Rosia De Secas,0.599,0.183,1.225
6976,Salciua,0.062,0.013,1.013
7044,Salistea,0.714,0.239,1.313
7099,Sasciori,0.395,0.108,1.121
7197,Scarisoara,-0.0,0.0,1.0
7348,Sancel,0.265,0.076,1.083
7384,Santimbru,0.524,0.155,1.183
7446,Sohodol,0.1,0.022,1.023
7767,Stremt,0.149,0.03,1.031
7810,Sibot,0.45,0.113,1.127
7865,Sona,1.428,0.476,1.909
7945,Spring,0.346,0.093,1.103
8014,Sugag,0.1,0.023,1.023
8096,Oras Teius,1.083,0.337,1.509
8158,Unirea,1.076,0.316,1.462
8229,Vadu Motilor,0.242,0.065,1.07
8354,Valea Lunga,1.04,0.335,1.505
8425,Vidra,0.572,0.17,1.205
8826,Vintu De Jos,0.441,0.104,1.117
9019,Cut,0.086,0.019,1.019
9026,Bucerdea Granoasa,0.915,0.345,1.528
9262,Municipiul Arad,1.471,0.427,1.745
9280,Fantanele,1.464,0.456,1.839
9333,Livada,1.454,0.503,2.013
9360,Sofronea,1.596,0.583,2.401
9397,Vladimirescu,1.06,0.293,1.415
9459,Oras Chisineu-Cris,1.477,0.482,1.932
9495,Oras Curtici,1.171,0.357,1.556
9538,Oras Ineu,1.152,0.322,1.474
9574,Oras Lipova,1.275,0.395,1.653
9627,Oras Nadlac,1.913,0.669,3.019
9654,Oras Pancota,1.699,0.556,2.254
9690,Oras Sebis,1.313,0.442,1.793
9743,Almas,1.15,0.441,1.788
9798,Apateu,0.53,0.161,1.192
9832,Archis,1.285,0.464,1.866
9887,Bata,0.753,0.252,1.337
9930,Beliu,1.489,0.458,1.844
10006,Birchis,0.665,0.216,1.276
10051,Barsa,0.85,0.257,1.346
10104,Barzava,0.988,0.306,1.442
10195,Bocsig,1.236,0.376,1.603
10239,Brazii,1.265,0.543,2.19
10293,Buteni,0.878,0.301,1.431
10346,Carand,1.495,0.576,2.359
10373,Cermei,1.106,0.329,1.489
10417,Chisindia,0.653,0.215,1.274
10453,Conop,0.75,0.272,1.374
10514,Covasint,1.298,0.456,1.84
10532,Craiva,1.053,0.33,1.493
10649,Dezna,0.726,0.239,1.315
10701,Dieci,0.871,0.301,1.431
10765,Ususau,0.946,0.415,1.708
10827,Felnac,0.867,0.27,1.37
10872,Ghioroc,1.636,0.523,2.097
10916,Graniceri,0.599,0.156,1.185
10943,Gurahont,1.02,0.376,1.603
11058,Halmagiu,0.263,0.065,1.07
11174,Halmagel,0.068,0.014,1.014
11236,Hasmas,1.142,0.395,1.654
11307,Ignesti,1.157,0.402,1.672
11352,Iratosu,1.423,0.563,2.287
11398,Macea,1.166,0.349,1.535
11423,Misca,2.249,0.737,3.803
11478,Moneasa,0.677,0.2,1.251
11502,Olari,1.572,0.57,2.324
