County,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists
ab,0.877,0.01,0.034,0.02,0.029,0.009,0.002,0.0,0.005,0.005,0.003,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0
ag,0.98,0.001,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.001
ar,0.739,0.088,0.024,0.072,0.011,0.036,0.011,0.0,0.0,0.003,0.001,0.0,0.008,0.002,0.001,0.0,0.0,0.0,0.002,0.001,0.001
b,0.956,0.013,0.001,0.003,0.002,0.002,0.002,0.005,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.002,0.002,0.005
bc,0.813,0.167,0.0,0.009,0.0,0.001,0.004,0.0,0.0,0.001,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bh,0.59,0.089,0.175,0.07,0.022,0.04,0.003,0.0,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.001
bn,0.828,0.011,0.043,0.074,0.019,0.008,0.006,0.0,0.0,0.006,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0
br,0.983,0.003,0.0,0.003,0.0,0.002,0.002,0.001,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bt,0.953,0.001,0.0,0.028,0.0,0.003,0.006,0.0,0.0,0.001,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bv,0.854,0.035,0.022,0.021,0.007,0.003,0.004,0.0,0.01,0.005,0.005,0.001,0.02,0.0,0.004,0.003,0.0,0.0,0.003,0.002,0.002
bz,0.985,0.001,0.0,0.005,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cj,0.731,0.035,0.114,0.032,0.036,0.011,0.005,0.001,0.011,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.005,0.003,0.003
cl,0.983,0.001,0.0,0.007,0.0,0.001,0.003,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs,0.834,0.062,0.003,0.033,0.007,0.04,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.001,0.001,0.001
ct,0.908,0.006,0.0,0.004,0.0,0.002,0.002,0.069,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
cv,0.214,0.362,0.333,0.023,0.001,0.002,0.004,0.0,0.043,0.006,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.002,0.004,0.0
db,0.965,0.002,0.0,0.014,0.0,0.001,0.008,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
dj,0.99,0.001,0.0,0.003,0.0,0.001,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gj,0.984,0.002,0.0,0.007,0.0,0.002,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gl,0.971,0.003,0.0,0.015,0.0,0.001,0.005,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
gr,0.984,0.001,0.0,0.002,0.0,0.002,0.005,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
hd,0.861,0.039,0.02,0.039,0.009,0.014,0.002,0.0,0.001,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
hr,0.125,0.665,0.122,0.002,0.002,0.003,0.002,0.0,0.07,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0
if,0.96,0.018,0.0,0.004,0.001,0.002,0.002,0.004,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.001,0.001
il,0.979,0.001,0.0,0.014,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is,0.923,0.049,0.0,0.006,0.0,0.001,0.003,0.001,0.0,0.001,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
mh,0.974,0.005,0.0,0.007,0.0,0.006,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0
mm,0.795,0.051,0.036,0.037,0.049,0.005,0.008,0.0,0.0,0.013,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
ms,0.535,0.092,0.263,0.018,0.021,0.004,0.017,0.0,0.023,0.013,0.002,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.002,0.004,0.001
nt,0.877,0.101,0.0,0.004,0.0,0.001,0.003,0.0,0.0,0.0,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
ot,0.994,0.0,0.0,0.001,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ph,0.972,0.002,0.0,0.007,0.0,0.001,0.006,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.001
sb,0.898,0.013,0.016,0.013,0.02,0.008,0.004,0.0,0.002,0.002,0.007,0.0,0.005,0.0,0.004,0.003,0.0,0.0,0.001,0.001,0.001
sj,0.644,0.025,0.197,0.048,0.027,0.039,0.004,0.0,0.0,0.009,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,0.0
sm,0.497,0.184,0.186,0.031,0.076,0.006,0.003,0.0,0.0,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0
sv,0.873,0.012,0.0,0.078,0.002,0.005,0.006,0.0,0.0,0.003,0.006,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0
tl,0.932,0.002,0.0,0.001,0.0,0.001,0.002,0.016,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tm,0.803,0.086,0.015,0.041,0.013,0.014,0.003,0.002,0.0,0.002,0.001,0.001,0.001,0.011,0.001,0.0,0.0,0.0,0.003,0.001,0.002
tr,0.984,0.0,0.0,0.001,0.0,0.001,0.011,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vl,0.991,0.001,0.0,0.002,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vn,0.959,0.014,0.0,0.019,0.0,0.0,0.002,0.0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
vs,0.963,0.014,0.0,0.011,0.0,0.0,0.002,0.0,0.0,0.001,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
