Code,City,Orthodox,Roman_Catholic,Reformed,Pentecostal,Greek_Catholic,Baptist,Seventh-day_Adventist,Islam,Unitarian,Jehova_Witnesses,Evangelical,Old_Calendarists,Evangelical_Lutheran,Serbian_Orthodox,Romanian_Evangelical,Evangelical_Augustan,Judaism,Armenian_Apostolic,Other_Religion,Without_religion,Atheists
1017,Municipiul Alba Iulia,0.892,0.021,0.01,0.024,0.021,0.017,0.001,0.0,0.001,0.005,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.002,0.001
1071,Ciugud,0.895,0.003,0.003,0.022,0.003,0.033,0.0,0.0,0.0,0.001,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
1151,Oras Abrud,0.93,0.006,0.007,0.016,0.003,0.026,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0
1213,Municipiul Aiud,0.776,0.014,0.13,0.011,0.034,0.009,0.005,0.0,0.011,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
1348,Municipiul Blaj,0.744,0.03,0.045,0.012,0.142,0.017,0.0,0.0,0.0,0.002,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0
1455,Oras Campeni,0.988,0.0,0.0,0.004,0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696,Oras Cugir,0.935,0.012,0.003,0.014,0.007,0.009,0.001,0.0,0.0,0.006,0.003,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.004,0.001
1794,Oras Ocna Mures,0.789,0.018,0.068,0.046,0.044,0.011,0.007,0.0,0.001,0.011,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
1874,Municipiul Sebes,0.906,0.007,0.003,0.034,0.008,0.01,0.0,0.0,0.0,0.011,0.004,0.001,0.003,0.0,0.004,0.004,0.0,0.0,0.002,0.002,0.0
1936,Oras Zlatna,0.982,0.004,0.003,0.001,0.001,0.005,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,Albac,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2309,Almasu Mare,0.96,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381,Arieseni,0.962,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2577,Avram Iancu,0.945,0.0,0.0,0.039,0.0,0.013,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2915,Oras Baia De Aries,0.979,0.003,0.003,0.005,0.001,0.004,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2988,Berghin,0.953,0.003,0.004,0.007,0.008,0.012,0.0,0.0,0.0,0.0,0.003,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3039,Bistra,0.998,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3397,Blandiana,0.931,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.017,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3459,Bucium,0.949,0.0,0.0,0.005,0.004,0.003,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
3761,Cenade,0.67,0.0,0.004,0.003,0.277,0.007,0.0,0.0,0.0,0.0,0.003,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805,Cergau,0.957,0.0,0.0,0.013,0.006,0.022,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3841,Ceru-Bacainti,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3958,Cetatea De Balta,0.706,0.006,0.16,0.031,0.087,0.001,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
4008,Ciuruleasa,0.931,0.0,0.0,0.046,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0
4106,Calnic,0.903,0.002,0.0,0.053,0.0,0.003,0.006,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4142,Cricau,0.974,0.0,0.0,0.0,0.002,0.022,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4188,Craciunelu De Jos,0.923,0.0,0.031,0.003,0.035,0.006,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4240,Daia Romana,0.816,0.0,0.0,0.033,0.066,0.015,0.001,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
4268,Dostat,0.951,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4302,Farau,0.668,0.0,0.225,0.069,0.021,0.0,0.002,0.0,0.006,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
